Series,Product Name,PureQty,ImpureQty,FinalQty
iPhone 16 Base,iPhone 16 Clear Case with MagSafe,92,27,119
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Black,44,30,74
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Denim,24,11,35
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Fuchsia,13,9,22
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Lake Green,40,22,62
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Plum,9,8,17
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Star Fruit,7,1,8
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Stone Gray,1,4,5
iPhone 16 Base,iPhone 16 Silicone Case with MagSafe - Ultramarine,15,18,33
iPhone 16 Plus,iPhone 16 Plus Clear Case with MagSafe,71,16,87
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Black,15,10,25
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Denim,10,5,15
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Fuchsia,16,10,26
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Lake Green,15,9,24
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Plum,7,3,10
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Star Fruit,1,1,2
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Stone Gray,6,10,16
iPhone 16 Plus,iPhone 16 Plus Silicone Case with MagSafe - Ultramarine,16,9,25
iPhone 16 Pro,iPhone 16 Pro Clear Case with MagSafe,195,210,405
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Black,93,108,201
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Denim,11,32,43
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Fuchsia,6,8,14
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Lake Green,0,8,8
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Plum,4,14,18
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Star Fruit,5,6,11
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Stone Gray,12,18,30
iPhone 16 Pro,iPhone 16 Pro Silicone Case with MagSafe - Ultramarine,9,19,28
iPhone 16 Pro Max,iPhone 16 Pro Max Clear Case with MagSafe,222,291,513
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Black,43,82,125
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Denim,11,42,53
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Fuchsia,10,19,29
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Lake Green,14,37,51
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Plum,14,21,35
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Star Fruit,8,10,18
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Stone Gray,11,21,32
iPhone 16 Pro Max,iPhone 16 Pro Max Silicone Case with MagSafe - Ultramarine,7,22,29
